codeSad,nomM,nomF
33708,Adjoint administratif 2,Adjointe administrative 2
33709,Adjoint administratif 1,Adjointe administrative 1
33710,Directeur,Directrice
33731,Chef d'exploitation,Chef d'exploitation
33732,Chef de la didacthèque,Chef de la didacthèque
33734,Administrateur d'applications,Administratrice d'applications
33766,Chef de division (Administr.),Chef de division (Administr.)
33767,Directeur(Concept.-programmes),Directrice(Concept.-programme)
33783,Secrétaire administratif 1,Secrétaire administrative 1
33784,Directeur adjoint (Pro.phy.),Directrice adjointe (Pro.phy.)
33785,Directeur-Publ. électroniques,Directrice-Publ.électroniques
33786,Codirecteur communautaire,Codirectrice communautaire
33787,Secrétaire administratif 2,Secrétaire administrative 2
33788,Directeur de l'informatique,Directrice de l'informatique
33789,Physiothérapeute en chef,Physiothérapeute en chef
33790,Chef de projet- Technique,Chef de projet - Technique
33791,Chef de projet - Technologique,Chef de projet - Technologique
33792,Coordonnateur de progr.sport.,Coordonnatrice de progr.sport.
33793,Coordonnateur de projets,Coordonnatrice de projets
33794,Coordonnateur serv.à la clien.,Coordonnatrice serv.à la clien
33795,Directeur gest.des opér.acad.,Directrice gest.des opér.acad.
33796,Directeur dév. prog. d'études,Directrice dév. prog. d'études
33797,Directeur - maint.applicative,Directrice - maint.applicative
33798,Responsable-sout.pavillonnaire,Responsable-sout.pavillonnaire
33799,Directeur image de marque,Directrice image de marque
33845,Adjoint au vice-doyen(Gestion),Adjointe au vice-doyen(Gestio)
33846,Directeur de la camp. annuelle,Directrice de la camp.annuelle
33847,Directeur - Belles soirées,Directrice - Belles soirées
33900,Directeur adjoint,Directrice adjointe
33954,Adjoint administratif 2/3 t.,Adjointe administrative 2/3 t.
33957,Adjoint au directeur technique,Adjointe au directeur techniq.
33963,Adjoint au directeur(Aff.étud),Adjointe au directeur(Aff.étu)
33964,Adjoint au directeur(Techniq.),Adjointe au directeur(Techniq)
33966,Adjoint à la doyenne,Adjointe à la doyenne
33967,Coordonnateur-Services inform.,Coordonnatrice-Services inform
33968,Coordonnateur des collections,Coordonnatrice des collections
33969,Coordonnateur CIQSS,Coordonnatrice CIQSS
33970,Responsable ress. mat.et phys.,Responsable ress. mat.et phys.
33971,Chef gestion des études,Chef gestion des études
33972,Directeur gestion des études,Directrice gestion des études
33973,Adjoint à la direction,Adjointe à la direction
33974,Responsable gest. ress. hum.,Responsable gest. ress. hum.
33975,Responsable pharmacie,Responsable pharmacie
33976,Responsable gestion des études,Responsable gestion des études
33977,Responsable des archives,Responsable des archives
33978,Médecin vétérinaire,Médecin vétérinaire
33979,Chef gestion des risques,Chef gestion des risques
33980,Directeur affaires publiques,Directrice affaires publiques
33981,Responsable sout. linguistique,Responsable sout. linguistique
33982,Directeur dons maj.et planif.,Directrice dons maj. et planif
33983,Directeur centre commun.écrite,Directrice centre commun.écrit
33984,Chef création et production,Chef création et production
33985,Responsable belles soirées,Responsable belles soirées
33986,Directeur édition numérique,Directrice édition numérique
33987,Directeur dons corporatifs,Directrice dons corporatifs
33988,Chef des relations médias,Chef des relations médias
33989,Directeur résidences,Directrice résidences
33990,Responsable opér. et infrastr.,Responsable opér. et infrastr.
33991,Responsable interv.harcèlement,Responsable interv.harcèlement
33992,Directeur ress.socio-économiq.,Directrice ress.socio-économiq
33993,Surintendant,Surintendante
33994,Surintendant,Surintendante
33995,Directeur micro-informatique,Directrice micro-informatique
33996,Responsable de la biologie,Responsable de la biologie
33997,Responsable des serv.cliniques,Responsable des serv.cliniques
33998,Directeur de l'école de langue,Directrice de l'école de langu
33999,Directeur de la form.à distan.,Directrice de la form.à distan
34001,Directeur adjoint,Directrice adjointe
34002,Adjoint au directeur,Adjointe au directeur
34003,Adjoint au directeur-Diplômes,Adjointe au directeur-Diplômes
34004,Directeur adjoint (Programm.),Directrice adjointe(Programm.)
34005,Adjoint au secrétaire général,Adjointe au secrétaire général
34006,Directeur(Services techniques),Directrice(Services technique)
34007,Directeur (Services aux usag.),Directrice(Services aux usag.)
34008,Directeur de bibliothèque,Directrice de bibliothèque
34009,Chef de division (Planificat.),Chef de division (Planificat.)
34010,Chef de division (mec.elect.),Chef de division (mec.elect.)
34011,Chef de division (ing.constr.),Chef de division (ing.constr.)
34012,Chef de division(ent.techniq.),Chef de division(ent.techniq.)
34013,Chef de division (régie-comm.),Chef de division (régie-comm.)
34014,Chef de division (Administr.),Chef de division (Administr.)
34015,Chef de division (Sécurité),Chef de division (Sécurité)
34016,Directeur de famille,Directrice de famille
34017,Directeur intérimaire,Directrice intérimaire
34018,Directeur - Centre accueil,Directrice - Centre accueil
34019,Adjoint au vice-doyen(Gestion),Adjointe au vice-doyen(Gestio)
34020,Adjoint au vice-doyen(Budgets),Adjointe au vice-doyen(Budget)
34021,Directeur cliniques(Aff.admin),Directrice cliniques(Aff.admi)
34022,Directeur administratif,Directrice administrative
34023,Directeur,Directrice
34024,Directeur de division,Directrice de division
34025,Directeur - Bureau de liaison,Directrice - Bureau de liaison
34026,Adjoint au vice-doyen(Aff.adm),Adjointe au vice-doyen(Aff.ad)
34027,Directeur - Serv. résidences,Directrice - Serv. résidences
34028,Directeur - Serv. des magasins,Directrice - Serv.des magasins
34029,Directeur - Serv. de polycopie,Directrice - Serv.de polycopie
34030,Ombudsman,Ombudsman
34031,Directeur - Information,Directrice - Information
34032,Coordonnateur(Santé et sécur.),Coordonnatrice(Santé et sécur)
34033,Adjoint au directeur (Projets),Adjointe au directeur(Projets)
34034,Adjoint au directeur(Proj.sp.),Adjointe au directeur(Proj.sp)
34035,Grammairien,Grammairienne
34036,Conseiller juridique,Conseillère juridique
34037,Directeur administratif,Directrice administrative
34038,Directeur des bibliothèques,Directrice des bibliothèques
34039,Directeur de famille,Directrice de famille
34040,Grammairien,Grammairienne
34041,Conseiller juridique,Conseillère juridique
34042,Directrice (serv.tech.),Directrice (serv.tech.)
34043,Conseiller -Analyste programm.,Conseillère-Analyste programm.
34044,Adjoint au vice-doyen (Études),Adjointe au vice-doyen(Études)
34045,Adjoint au vice-doyen(Planif.),Adjointe au vice-doyen(Planif)
34046,Directeur des ress.humaines,Directrice des ress.humaines
34047,Directeur (b.e.e.d.),Directrice (b.e.e.d.)
34048,Directeur de division,Directrice de division
34049,Directeur médical,Directrice médicale
34050,Attaché de coopération,Attachée de coopération
34051,Attaché de coopération,Attachée de coopération
34052,Directeur,Directrice
34053,Chef de rel.institutionnelles,Chef de rel.institutionnelles
34054,Chef de cabinet adjointe,Chef de cabinet adjointe
34055,Responsable des serv.administ.,Responsable des serv.administ.
34056,Directeur service à la client.,Directrice service à la client
34057,Chef des services hospitaliers,Chef des services hospitaliers
34058,Conseiller à la direction,Conseillère à la direction
34059,Chef des services vétérinaires,Chef des services vétérinaires
34060,Resp. des Tech.inform. et com.,Resp. des Tech.inform. et com.
34061,Responsable gestion financière,Responsable gestion financière
34062,Directeur - Centre de services,Directrice -Centre de services
34063,Resp. Gest. Fin. & Matér.,Resp. Gest. Fin. & Matér.
34064,Chef de laboratoire,Chef de laboratoire
34066,Chef de service - pharmacie,Chef de service- pharmacie
34067,Responsable de laboratoire,Responsable de laboratoire
34068,"Directeur,opérat.hospitalières","Directrice,opér. hospitalières"
34069,Gestionnaires de contrats,Gestionnaire de contrats
34070,Vice-recteur associé,Vice-rectrice associée
34071,"Vice-recteur à la recherche, à la découverte, à la création et à l'innovation","Vice-rectrice à la recherche, à la découverte, à la création et à l'innovation"
34072,Conseiller spécial VR,Conseillère spéciale VR
34073,Conseiller spécial SG,Conseillère spéciale SG
34074,Directeur,Directrice
42001,Professeur titulaire,Professeure titulaire
42002,Formateur(trice)-Form. continu,Formateur(trice)-Form. continu
42003,Professeur titulaire de clinique,Professeure titulaire de clinique
42006,Professeur agrégé,Professeure agrégée
42008,Professeur agrégé de clinique,Professeure agrégée de clinique
42011,Professeur adjoint,Professeure adjointe
42016,Professeur adjoint de clinique,Professeure adjointe de clinique
42017,Professeur de formation pratique adjoint,Professeure de formation pratique adjointe
42018,Professeur de formation pratique agrégé,Professeure de formation pratique agrégée
42019,Professeur de formation pratique titulaire,Professeure de formation pratique titulaire
42021,Chargé d'enseignement,Chargée d'enseignement
42023,"Professeur adjoint, temps plein géographique sous contrat","Professeure adjointe, temps plein géographique sous contrat"
42024,"Professeur agrégé, temps plein géographique sous contrat","Professeure agrégée, temps plein géographique sous contrat"
42025,"Professeur titulaire, temps plein géographique sous contrat","Professeure titulaire, temps plein géographique sous contrat"
42026,Chargé d'enseignement de clinique,Chargée d'enseignement de clinique
42027,Clinicien enseignant,Clinicienne enseignante
42028,Enseignant en médecine vétérinaire,Enseignante en médecine vétérinaire
42029,Conseiller spécial VR,Conseillère spéciale VR
42030,Conseiller spécial SG,Conseillère spéciale SG
42031,Professeur invité,Professeure invitée
42032,Professeur associé,Professeure associée
42034,Clinicien associé,Clinicienne associée
42036,Professeur invité de clinique,Professeure invitée - clinique
42041,Chargé de formation pratique,Chargée de formation pratique
42046,Chargé de formation clinique,Chargée de formation clinique
42051,Chargé de cours,Chargée de cours
42052,Responsable – Formation professionnelle,Responsable – Formation professionnelle
42053,Responsable de formation clinique,Responsable de formation clinique
42054,Responsable des cours de langues,Responsable des cours de langues
42055,Conseiller pédagogique,Conseillère pédagogique
42056,Chargé de cours de clinique,Chargé de cours de clinique
42058,Consultant,Consultante
42059,Clinicien,Clinicienne
42061,Chargé de clinique,Chargée de clinique
42062,Assistant de clinique,Assistante de clinique
42063,Fonction d'enseignement additionnel,Fonction d'enseignement additionnel
42065,Animateur de session,Animatrice de session
42066,Accompagnateur,Accompagnatrice
42067,Coach vocal,Coach vocal
42068,Claveciniste,Claveciniste
42071,Conférencier,Conférencière
42081,Tuteur,Tutrice
42091,Garde,Garde
42093,Prime de clinicien,Prime de clinicien
42095,Recherche additionnelle,Recherche additionnelle
42096,Clinique additionnelle - FMV,Clinique additionnelle - FMV
42098,Professeur honoraire,Professeure honoraire
42099,Professeur émérite,Professeure émérite
42999,Personnel académique,Personnel académique
44001,Auxiliaire d'enseignement,Auxiliaire d'enseignement
44010,Superviseur de stage,Superviseure de stage
44011,Superviseur de laboratoire,Superviseure de laboratoire
44013,Coordonnateur,Coordonnateur
44014,Charg. de trav.prat. ateliers,Charg. de trav.prat. ateliers
44015,Chargé de travaux pratiques,Chargée de travaux pratiques
44016,Animateur,Animatrice
44020,Démonstrateur,Démonstratrice
44021,Moniteur,Monitrice
44022,Répétiteur,Répétiteur
44023,Accompagnateur,Accompagnateur
44024,Assistant superviseur stage,Assistante superviseur stage
44025,Moniteur de langue,Monitrice de langue
44026,Moniteur hors-campus,Monitrice hors-campus
44028,Conseiller au test,Conseillère au test
44030,Correcteur,Correctrice
44031,Surveillant d'examen,Surveillante d'examen
44032,Documentaliste,Documentaliste
44033,Correcteur niveau 2,Correctrice niveau 2
44040,Clinicien résident,Clinicienne résidente
44041,Interne,Interne
44050,Fction de rech. additionnelle,Fction de rech. additionnelle
44051,Fonction de garde,Fonction de garde
44061,Auxiliaire d'enseignement (étudiant/e),Auxiliaire d'enseignement (étudiant/e)
44080,Resp. de travaux pratiques,Resp. de travaux pratiques
52001,Titulaire de recherche,Titulaire de recherche
52003,Chercheur titulaire,Chercheuse titulaire
52011,Agrégé de recherche,Agrégé de recherche
52013,Chercheur agrégé,Chercheuse agrégée
52021,Adjoint de recherche,Adjoint de recherche
52023,Chercheur adjoint,Chercheuse adjointe
52031,Attaché de recherche,Attachée de recherche
52051,Chercheur invité,Chercheuse invitée
52060,Professeur sous octroi adjoint,Professeure sous octroi adjointe
52061,Professeur sous octroi agrégé,Professeure sous octroi agrégé
52062,Professeur sous octroi titulaire,Professeure sous octroi titulaire
52070,Professeur/chercheur adjoint,Professeure/chercheuse adjointe
52071,Professeur/chercheur agrégé,Professeure/chercheuse agrégée
52072,Professeur/chercheur titulaire,Professeure/chercheuse titulaire
52999,Personnel académique,Personnel académique
53001,Stagiaire postdoctoral,Stagiaire postdoctoral
53002,Stagiaire postdoct. - étranger,Stagiaire postdoct. - étranger
53011,Boursier postdoctoral,Boursier postdoctoral
53021,Stagiaire de recherche,Stagiaire de recherche
53031,Assistant de recherche,Assistante de recherche
53041,Auxiliaire de recherche,Auxiliaire de recherche
53051,Aide à la recherche,Aide à la recherche
53061,Aux. de recherche (étudiant/e),Aux. de recherche (étudiant/e)
53091,Chercheur,Chercheuse
60000,Cons. princ. SIRH intel. aff.,Cons. princ. SIRH intel. aff.
62001,Conseiller technique,Conseillère technique
62003,Agent d'administration,Agente d'adminstration
62004,Agent d'administration,Agente d'administration
62005,Adjoint au secrétaire,Adjointe au secrétaire
62007,Responsable des doss. académ.,Responsable des doss. académ.
62008,Coordonnateur photocopieurs,Coordonnatrice photocopieurs
62010,Responsable des diplômes,Responsable des diplômes
62011,Assistant-surintendant,Assistante-surintendante
62012,Coordonnateur,Coordonnatrice
62013,Coordonnateur(Régie des salle),Coordonnatrice(Régie des sall)
62014,Responsable doss.étud.étrang.,Responsable doss.étud.étrang.
62015,Responsable de laboratoire,Responsable de laboratoire
62016,Surveillant des travaux,Surveillante des travaux
62017,Responsable opér.budgétaires,Responsable opér. budgétaires
62018,Agent de gestion académique,Agente de gestion académique
62019,Surveillant,Surveillante
62020,Estimateur (Surv.des travaux),Estimatrice (Surv.des travaux)
62021,Inspecteur de travaux,Inspectrice de travaux
62022,Représentant (DI),Représentante (DI)
62023,Conseiller en micro-informat.,Conseillère en micro-informat.
62024,Responsable du contrôle,Responsable du contrôle
62025,Surveillant de chantier,Surveillante de chantier
62026,Adjoint technique,Adjointe technique
62027,Adjoint technique,Adjointe technique
62060,Adjoint directeur (Rel.trav.),Adjointe directeur (Rel.trav.)
62061,Grammairien,Grammairienne
62085,Chef de cabinet,Chef de cabinet
62087,Conseiller juridique,Conseillère juridique
62092,Chef de projet,Chef de projet
62103,Avocat recherchiste,Avocate recherchiste
62230,Chargé de mission (Environn.),Chargée de mission (Environn.)
62250,Conseiller (Inf. Sc. Prof.),Conseillère (Inf. sc. Prof.)
62251,Conseiller (Affaires étudian.),Conseillère (Affaires étudian)
62361,Conseiller (Coord.des études),Conseillère (Coord.des études)
62362,Conseiller (Planification),Conseillère (Planification)
62363,Conseiller en formation,Conseillère en formation
62364,Agent (Développ.académique),Agente (Développ.académique)
62425,Avocat-consultant,Avocate-consultante
62435,Spécialiste (Muséographie),Spécialiste (Muséographie)
62436,Responsable activ.hors-campus,Responsable activ.hors-campus
62441,Avocat (Stagiaire),Avocate (Stagiaire)
62443,Coordonnateur technique,Coordonnatrice technique
62461,Président (ccss),Présidente (ccss)
62478,Adjoint au directeur (pfca),Adjointe au directeur (pfca)
62479,Secrétaire exécutif,Secrétaire exécutive
62519,Coordonnateur (Animaleries),Coordonnatrice (Animaleries)
62567,Juriste consultant,Juriste consultante
62593,Adjoint au vice-doyen (Coord.),Adjointe au vice-doyen (Coord)
62615,Adjoint au vice-doyen (Études),Adjointe au vice-doyen(Études)
62952,Adjoint vice-doyen (Recherche),Adjointe vice-doyen(Recherche)
62961,Adjoint directeur (Proj.spéc.),Adjointe directeur(Proj.spéc.)
63001,Chargé de projet,Chargée de projet
63002,Agent technique (ph.n.),Agente technique (ph.n.)
63003,Concepteur 1,Conceptrice 1
63004,Acheteur,Acheteuse
63005,Agent de recherche (informat.),Agente de recherche (Inform.)
63006,Animateur d'atelier,Animatrice d'atelier
63007,Coordonnateur(Santé et sécur.),Coordonnatrice(Santé et sécur)
63008,Vérificateur informatique,Vérificatrice informatique
63009,Analyste en communication,Analyste en communication
63010,Analyste financier,Analyste financière
63011,Microbiologiste,Microbiologiste
63012,Concepteur graphiste,Conceptrice graphiste
63013,Conseiller (Service sports),Conseillère (Service sports)
63014,Professeur (Serv. des sports),Professeure (Serv. des sports)
63015,Assistant (Service des sports),Assistante(Service des sports)
63016,Représentant commercial,Représentante commerciale
63017,Analyste en système,Analyste en système
63018,Agent technique,Agente technique
63019,Agent d'animation et d'inform.,Agente d'animation et d'inform
63020,Statisticien,Statisticienne
63021,Inspecteur de travaux,Inspectrice de travaux
63022,Responsable implant.syst.metr.,Responsable implant.syst.metr.
63023,Responsable (c.l.c.d.),Responsable (c.l.c.d.)
63024,Assistant de production,Assistante de production
63025,Coordonnateur (Prog. regl.),Coordonnatrice (Prog. regl.)
63026,Ingénieur-électronicien,Ingénieure-électronicienne
63027,Animateur (Service des sports),Animatrice(Service des sports)
63028,Coordonnateur(Cong.& évén.sp),Coordonnatrice(Cong.& évén.sp)
63029,Graphiste,Graphiste
63030,Analyste,Analyste
63031,Agent de recherche (Programme),Agente de recherche(Programme)
63032,Responsable progr.de cooperat.,Responsable progr.de cooperat.
63033,Analyste-programmeur,Analyste-programmeuse
63034,Coordonnateur des stages,Coordonnatrice des stages
63035,Agent de gestion financière,Agente de gestion financière
63036,Responsable de centre de docum,Responsable de centre de docum
63037,Animateur,Animatrice
63038,Analyste-statisticien,Analyste-statisticienne
63039,Responsable des comm.externes,Responsable des comm.externes
63040,Architecte,Architecte
63041,Analyste en informatique,Analyste en informatique
63042,Psychologue,Psychologue
63043,Concepteur (Mécanique),Conceptrice (Mécanique)
63044,Concepteur (Électricité),Conceptrice (Électricité)
63045,Assistant-aumônier,Assistante-aumônier
63046,Animateur culturel,Animatrice culturelle
63047,Arrêtiste,Arrêtiste
63048,Responsable (Logement),Responsable (Logement)
63049,Assistant à la recherche,Assistante à la recherche
63050,Chargé de relations publiques,Chargée de relations publiques
63051,Agent de formation,Agente de formation
63052,Analyste des programmes,Analyste des programmes
63053,Resp.prog.rel.publ.-publicité,Resp.prog.rel.publ.-publicité
63054,Responsable (Prog.cons.+ fam.),Responsable (Prog.cons.+fam.)
63055,Diététiste,Diététiste
63056,Surveillant,Surveillante
63057,Accompagnateur,Accompagnatrice
63058,Chef de choeur,Chef de choeur
63059,Biologiste,Biologiste
63060,Coordonnateur (Programme),Coordonnatrice (Programme)
63061,Narrateur,Narratrice
63062,Psychotherapeute,Psychotherapeute
63063,Photothécaire,Photothécaire
63064,Agent de liaison,Agente de liaison
63065,Conseiller tech.en prévention,Conseillère tech.en prévention
63066,Superviseur,Superviseure
63067,Agent de personnel,Agente de personnel
63068,Conseiller d'orientation,Conseillère d'orientation
63069,Aumônier,Aumônier
63070,Chorégraphe,Chorégraphe
63071,Conseiller (Admin. de projets),Conseillère (Admin.de projets)
63072,Agent des avantages sociaux,Agente des avantages sociaux
63073,Cartothécaire,Cartothécaire
63074,Agent de rech.(Microbiol.-imm),Agente de rech.(Microbiol-imm)
63075,Entraîneur (Serv. des sports),Entraîneuse (Serv. des sports)
63076,Consultant en sondage,Consultante en sondage
63077,Conseiller serv.socio-écon.,Conseillère serv.socio-écon.
63078,Interprète,Interprète
63079,Administrateur (Contrats),Administratrice (Contrats)
63080,Animateur pastorale,Animatrice pastorale
63081,Coordonnateur opérationnel,Coordonnatrice opérationnelle
63082,Secrétaire (Groupes GESA),Secrétaire (Groupes GESA)
63083,Agent de contrats,Agente de contrats
63084,Adjoint au directeur(Program.),Adjointe au directeur(Program)
63085,Pharmacien,Pharmacienne
63086,Biométricien,Biométricienne
63087,Agent de dotation,Agente de dotation
63088,Responsable des annuaires,Responsable des annuaires
63089,Responsable (Cours culturels),Responsable (Cours culturels)
63090,Chef de division(Arch.histor.),Chef de division(Arch.histor.)
63091,Conseiller en gest. personnel,Conseillère en gest. personnel
63092,Responsable (Logiciels),Responsable (Logiciels)
63093,Archiviste,Archiviste
63094,Conseiller technique,Conseillère technique
63095,Muséologue,Muséologue
63096,Préposé (Av.sociaux & accueil),Préposée (Av. sociaux&accueil)
63097,Coordonnateur (Études ciném.),Coordonnatrice (Études ciném.)
63098,Adjoint au directeur (Projets),Adjointe au directeur(Projets)
63099,Adjoint au directeur(Proj.sp.),Adjointe au directeur(Proj.sp)
63100,Copiste,Copiste
63101,Responsable(Salles de concert),Responsable(Salles de concert)
63102,Adjoint au secrétaire général,Adjointe au secrétaire général
63103,Adjoint au directeur,Adjointe au directeur
63104,Responsable (Lab. région.RMN),Responsable (Lab. région.RMN)
63105,Responsable (Prog. de coopér.),Responsable (Prog. de coopér.)
63106,Directeur adjoint (Dos.étud.),Directrice adjointe(Dos.étud.)
63107,Dentiste,Dentiste
63108,Coordonnateur clinique(Recycl),Coordonnatrice clinique(Recyc)
63109,Adjoint au directeur technique,Adjointe au directeur techniq.
63110,Grammairien,Grammairienne
63111,Conseiller juridique,Conseillère juridique
63112,Responsable de projets,Responsable de projets
63113,Conseiller en formation,Conseillère en formation
63114,Assistant à la promotion,Assistante à la promotion
63115,Responsable de banq.de données,Responsable de banq.de données
63116,Adjoint au directeur(Aff.étud),Adjointe au directeur(Aff.étu)
63117,Agent à la coordin. (S.A.V.),Agente à la coordin. (S.A.V.)
63118,Agent à la coordin. technique,Agente à la coordin. technique
63119,Administrateur de subventions,Administratrice de subventions
63120,Coordonnateur  (Paie),Coordonnatrice (Paie)
63121,Paleobotaniste,Paleobotaniste
63122,Responsable de laboratoire,Responsable de laboratoire
63123,Infirmier (Santé au travail),Infirmière (Santé au travail)
63124,Agent de sollicitation,Agente de sollicitation
63125,Agent de formation,Agente de formation
63126,Documentaliste (Recherche),Documentaliste (Recherche)
63127,Adjoint au vice-doyen,Adjointe au vice-doyen
63128,Responsable des opérat. (SIES),Responsable des opérat. (SIES)
63129,Acheteur,Acheteuse
63130,Agent de recherche,Agente de recherche
63131,Animateur,Animatrice
63132,Animateur d'atelier,Animatrice d'atelier
63133,Comptable,Comptable
63134,Animateur sportif,Animatrice sportive
63135,Assistant (Service des sports),Assistante(Service des sports)
63136,Conseiller(Service des sports),Conseillère(Service des sport)
63137,Entraîneur(Service des sports),Entraîneuse(Service des sport)
63138,Professeur(Service des sports),Professeure(Service des sport)
63139,Adjoint au programme,Adjointe au programme
63140,Agent d'admission,Agente d'admission
63141,Agent d'animation et d'inform.,Agente d'animation et d'inform
63142,Agent d'information,Agente d'information
63143,Agent d'inscription,Agente d'inscription
63144,Agent de personnel,Agente de personnel
63145,Agent de planification,Agente de planification
63146,Agent de dév. pédagogique,Agente de dév. pédagogique
63147,Agent de recherche biochimie,Agente de recherche biochimie
63148,Responsable fichiers personnel,Responsable fichiers personnel
63149,Ingénieur de systèmes,Ingénieure de systèmes
63150,Pigiste,Pigiste
63151,Coordonnateur des proj.spéc.,Coordonnatrice des proj.spéc.
63152,Chimiste-analyste,Chimiste-analyste
63153,Coordonnateur(Activ.scientif.),Coordonnatrice(Activ.scientif)
63154,Agent de sélection,Agente de sélection
63155,Agent de sollicitation,Agente de sollicitation
63156,Agent des avantages sociaux,Agente des avantages sociaux
63157,Agent (Dévelop. pédagogique),Agente (Dévelop. pédagogique)
63158,Secrétaire-rédacteur,Secrétaire-rédactrice
63159,Décorateur,Décoratrice
63160,Bibliothécaire,Bibliothécaire
63161,Agent de gestion financière,Agente de gestion financière
63162,Agent technique,Agente technique
63163,Agent technique(Illust.médic.),Agente technique(Illust.médic)
63164,Nutritionniste,Nutritionniste
63165,Agent de commercialisation,Agente de commercialisation
63166,Analyste-programmeur,Analyste-programmeuse
63167,Animateur culturel,Animatrice culturelle
63168,Animateur pastoral,Animatrice pastorale
63169,Documentaliste,Documentaliste
63170,Responsable (Info.& communic.),Responsable (Info.& communic.)
63171,Correcteur d'épreuves,Correctrice d'épreuves
63172,Chargé de relations publiques,Chargée de relations publiques
63173,Concepteur (Architecture),Conceptrice (Architecture)
63174,Concepteur graphiste,Conceptrice graphiste
63175,Conseiller aux s.s.e.,Conseillère aux s.s.e.
63176,Électronicien,Électronicienne
63177,Conseiller d'orientation,Conseillère d'orientation
63178,Conseiller en formation,Conseillère en formation
63179,Agent de pré-sélection,Agente de pré-sélection
63180,Conseiller technique,Conseillère technique
63181,Coordonnateur,Coordonnatrice
63182,Coordonnateur de projets,Coordonnatrice de projets
63183,Coordonnateur technique,Coordonnatrice technique
63184,Coordonnateur (Serv.optiques),Coordonnatrice (Serv.optiques)
63185,Informaticien-statisticien,Informaticienne-statisticienne
63186,Ingénieur en mécanique,Ingénieure en mécanique
63187,Pharmacien,Pharmacienne
63188,Physicien en radioprotection,Physicienne en radioprotection
63189,Programmeur-analyste,Programmeuse-analyste
63190,Programmeur-consultant,Programmeuse-consultante
63191,Réalisateur,Réalisatrice
63192,Rédacteur,Rédactrice
63193,Rédacteur publicitaire,Rédactrice publicitaire
63194,Secrétaire-rédacteur,Secrétaire-rédactrice
63195,Traducteur,Traductrice
63196,Agent de recherche (Chimie),Agente de recherche (Chimie)
63197,Vérificateur informatique,Vérificatrice informatique
63198,Verificateur interne,Verificatrice interne
63199,Juriste-analyste,Juriste analyste
63200,Agent de rémunération,Agente de rémunération
63201,Agent de recherche(Sociologie),Agente de recherche(Sociolog.)
63202,Correcteur d'épreuves,Correctrice d'épreuves
63203,Agent de construction,Agente de constrution
63204,Coordonnateur (Éval.l'enseig.),Coordonnatrice(Éval.l'enseig)
63205,Responsable sollicitation,Responsable sollicitation
63206,Coord.activites-formation,Coord.activites-formation
63207,Conseiller (Approvisionnement),Conseillère(Approvisionnement)
63208,Conseiller en prévention,Conseillère en prévention
63209,Conseiller aux avant. sociaux,Conseillère aux avant. sociaux
63210,Conseiller aux avant. sociaux,Conseillère aux avant. sociaux
63211,Chimiste-agent d'information,Chimiste-agente d'information
63212,Conseiller en rémunération,Conseillère en rémunération
63213,Agent de liaison,Agente de liaison
63214,Orthophoniste,Orthophoniste
63215,Conseiller (Rémunération),Conseillère (Rémunération)
63216,Conseiller aux ress.humaines,Conseillère aux ress.humaines
63217,Analyste statisticien,Analyste statisticienne
63218,Agent d'évaluation,Agente d'évaluation
63219,Adjoint technique,Adjointe technique
63220,Travailleur social,Travailleuse sociale
63221,Conseiller,Conseillère
63222,Physicien,Physicienne
63223,Microscopiste électronique,Microscopiste électronique
63224,Responsable de programme1,Responsable de programme 1
63225,Analyste programmeur 2,Analyste programmeuse 2
63226,Responsable (Serv.de psychol.),Responsable (Serv.de psychol.)
63227,Responsable de programme 2,Responsable de programme 2
63228,Agent d'admission,Agente d'admission
63229,Chef des ateliers,Chef des ateliers
63230,Conseiller en emploi,Conseillère en emploi
63231,Agent de pastorale,Agente de pastorale
63232,Agent de pastorale,Agente de pastorale
63233,Agent de promotion,Agente de promotion
63234,Agent de sélection,Agente de sélection
63235,Analyste de coûts,Analyste de coûts
63236,Informaticien économiste,Informaticienne économiste
63237,Informaticien,Informaticienne
63238,Infirmier (gest.med.-adm),Infirmière (gest.med.-adm)
63239,Conseiller info.scolaire prof.,Conseillère info.scolaire prof
63240,Professeur (W.O. Serv.sports),Professeure (W.O. Serv.sports)
63241,Professeur (W.O. Serv.sports),Professeure (W.O. Serv.sports)
63242,Agent d'admin. (Recherche),Agente d'admin. (Recherche)
63243,Agent de commercialisation,Agente de commercialisation
63244,Payeur,Payeuse
63245,Audiologiste,Audiologiste
63246,Chef de projet,Chef de projet
63247,Physiothérapeute,Physiothérapeute
63248,Agent de développement,Agente de développement
63249,Agent d'administration,Agente d'administration
63250,Bibliothécaire (informatique),Bibliothécaire (Informatique)
63251,Responsable informatique,Responsable informatique
63252,Chargé de recrutement,Chargée de recrutement
63253,Coordonnateur de la gest.acad.,Coordonnatrice de la gest.acad
63254,Coordonnateur de projets,Coordonnatrice de projets
63255,Agent de recherche (Biologie),Agente de recherche (Biologie)
63256,Responsable (Enregistr.-contr),Responsable (Enregistr.-contr)
63257,Adjoint au directeur,Adjointe au directeur
63258,Responsable de radioprotection,Responsable de radioprotection
63259,Ingénieur,Ingénieure
63260,Conseiller (Info.documentaire),Conseillère(Info.documentaire)
63261,Analyste en informatique 2,Analyste en informatique 2
63262,Rédacteur en chef,Rédactrice en chef
63263,Agent de liaison et d'inform.,Agente de liaison et d'inform.
