idsadvr,sexe,langues.nom,langues.medium,affiliations.fonction.codeSad,affiliations.fonction.nom,formations.diplome,formations.annee,formations.institutions.nom,formations.institutions.paysNom,formations.institutions.paysCode
in14735,F,Français,Oral,53091,Chercheuse,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Français,Oral,53091,Chercheuse,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Français,Oral,53091,Chercheuse,Doctorat,2001,"Max-Weber-Kolleg, Université d'Erfurt",Allemagne,DE
in14735,F,Allemand,Oral,42001,Professeure titulaire,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Allemand,Oral,42001,Professeure titulaire,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Allemand,Oral,42001,Professeure titulaire,Doctorat,2001,"Max-Weber-Kolleg, Université d'Erfurt",Allemagne,DE
in14735,F,Allemand,Oral,53091,Chercheuse,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Allemand,Oral,53091,Chercheuse,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Allemand,Oral,53091,Chercheuse,Doctorat,2001,"Max-Weber-Kolleg, Université d'Erfurt",Allemagne,DE
in14735,F,Polonais,Oral,42001,Professeure titulaire,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Polonais,Oral,42001,Professeure titulaire,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Polonais,Oral,42001,Professeure titulaire,Doctorat,2001,"Max-Weber-Kolleg, Université d'Erfurt",Allemagne,DE
in14735,F,Polonais,Oral,53091,Chercheuse,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Polonais,Oral,53091,Chercheuse,Habilitation,2012,"Université europénne Viadrina, Francfort-sur-l'Oder",Allemagne,DE
in14735,F,Polonais,Oral,53091,Chercheuse,Doctorat,2001,"Max-Weber-Kolleg, Université d'Erfurt",Allemagne,DE
in14736,F,Français,Écrit,42001,Professeure titulaire,Doctorat,2000,University of Missouri-Columbia,États-Unis,US
in14736,F,Français,Oral,42001,Professeure titulaire,Doctorat,2000,University of Missouri-Columbia,États-Unis,US
in14737,F,Anglais,Écrit,42001,Professeure titulaire,,,,,
in14737,F,Espagnol; castillan,Écrit,42001,Professeure titulaire,,,,,
in14738,F,,,42006,Professeure agrégée,,,,,
in14740,F,Anglais,Écrit,42001,Professeure titulaire,,,,,
in14740,F,Anglais,Écrit,53091,Chercheuse,,,,,
in14740,F,Français,Écrit,42001,Professeure titulaire,,,,,
in14740,F,Français,Écrit,53091,Chercheuse,,,,,
in14740,F,Anglais,Oral,42001,Professeure titulaire,,,,,
in14740,F,Anglais,Oral,53091,Chercheuse,,,,,
in14740,F,Français,Oral,42001,Professeure titulaire,,,,,
in14740,F,Français,Oral,53091,Chercheuse,,,,,
in14748,M,,,42006,Professeur agrégé,,,,,
in14751,M,Français,Écrit,42006,Professeur agrégé,,,,,
in14751,M,Français,Oral,42006,Professeur agrégé,,,,,
in14752,M,,,42016,Professeur adjoint de clinique,,,,,
in14753,M,Français,Écrit,42001,Professeur titulaire,D.M.V.,1983,Université de Montréal,Canada,CA
in14753,M,Français,Écrit,42001,Professeur titulaire,M.Sc.,1986,Université de Montréal,Canada,CA
in14753,M,Français,Écrit,42001,Professeur titulaire,Ph.D.,1990,University of Minnesota,États-Unis,US
in14753,M,Français,Oral,42001,Professeur titulaire,D.M.V.,1983,Université de Montréal,Canada,CA
in14753,M,Français,Oral,42001,Professeur titulaire,M.Sc.,1986,Université de Montréal,Canada,CA
in14753,M,Français,Oral,42001,Professeur titulaire,Ph.D.,1990,University of Minnesota,États-Unis,US
in14756,M,Français,Écrit,42001,Professeur titulaire,B. Sc. Sciences biologiques,1991,Université du Québec à Montréal,Canada,CA
in14756,M,Français,Écrit,42001,Professeur titulaire,M. Sc. Aménagement,1995,Université de Montréal,Canada,CA
in14756,M,Français,Écrit,42001,Professeur titulaire,Ph. D. Aménagement,2001,Université de Montréal,Canada,CA
in14756,M,Français,Écrit,42001,Professeur titulaire,"Postdoctorat, Sociologie du paysage",2004,CNRS/Université de Paris 1 Panthéon-Sorbonne,France,FR
in14756,M,Français,Écrit,42001,Professeur titulaire,"Postdoctorat, Sociologie du paysage",2004,CNRS/Université de Paris 1 Panthéon-Sorbonne,France,FR
in14756,M,Français,Oral,42001,Professeur titulaire,B. Sc. Sciences biologiques,1991,Université du Québec à Montréal,Canada,CA
in14756,M,Français,Oral,42001,Professeur titulaire,M. Sc. Aménagement,1995,Université de Montréal,Canada,CA
in14756,M,Français,Oral,42001,Professeur titulaire,Ph. D. Aménagement,2001,Université de Montréal,Canada,CA
in14756,M,Français,Oral,42001,Professeur titulaire,"Postdoctorat, Sociologie du paysage",2004,CNRS/Université de Paris 1 Panthéon-Sorbonne,France,FR
in14756,M,Français,Oral,42001,Professeur titulaire,"Postdoctorat, Sociologie du paysage",2004,CNRS/Université de Paris 1 Panthéon-Sorbonne,France,FR
in14760,M,Français,Écrit,42099,Professeur émérite,,,,,
in14760,M,Français,Oral,42099,Professeur émérite,,,,,
in14765,M,Anglais,Écrit,42001,Professeur titulaire,Baccalauréat,1997,Université de Montréal,Canada,CA
in14765,M,Anglais,Écrit,42001,Professeur titulaire,Doctorat,2002,Université de Montréal,Canada,CA
in14765,M,Anglais,Écrit,42001,Professeur titulaire,Stage postdoctoral,2003,INRS - Énergie et Matériaux,Canada,CA
in14765,M,Anglais,Écrit,42001,Professeur titulaire,Stage postdoctoral,2004,Cornell University,États-Unis,US
in14765,M,Français,Écrit,42001,Professeur titulaire,Baccalauréat,1997,Université de Montréal,Canada,CA
in14765,M,Français,Écrit,42001,Professeur titulaire,Doctorat,2002,Université de Montréal,Canada,CA
in14765,M,Français,Écrit,42001,Professeur titulaire,Stage postdoctoral,2003,INRS - Énergie et Matériaux,Canada,CA
in14765,M,Français,Écrit,42001,Professeur titulaire,Stage postdoctoral,2004,Cornell University,États-Unis,US
in14765,M,Anglais,Oral,42001,Professeur titulaire,Baccalauréat,1997,Université de Montréal,Canada,CA
in14765,M,Anglais,Oral,42001,Professeur titulaire,Doctorat,2002,Université de Montréal,Canada,CA
in14765,M,Anglais,Oral,42001,Professeur titulaire,Stage postdoctoral,2003,INRS - Énergie et Matériaux,Canada,CA
in14765,M,Anglais,Oral,42001,Professeur titulaire,Stage postdoctoral,2004,Cornell University,États-Unis,US
in14765,M,Français,Oral,42001,Professeur titulaire,Baccalauréat,1997,Université de Montréal,Canada,CA
in14765,M,Français,Oral,42001,Professeur titulaire,Doctorat,2002,Université de Montréal,Canada,CA
in14765,M,Français,Oral,42001,Professeur titulaire,Stage postdoctoral,2003,INRS - Énergie et Matériaux,Canada,CA
in14765,M,Français,Oral,42001,Professeur titulaire,Stage postdoctoral,2004,Cornell University,États-Unis,US
in14786,M,Anglais,Écrit,42001,Professeur titulaire,Ph.D.,2000,University at Albany SUNY,États-Unis,US
in14786,M,Anglais,Écrit,42001,Professeur titulaire,M.Sc.,1993,Université de Montréal,Canada,CA
in14786,M,Anglais,Écrit,42001,Professeur titulaire,B.A. honours,1988,McGill University,Canada,CA
in14786,M,Français,Écrit,42001,Professeur titulaire,Ph.D.,2000,University at Albany SUNY,États-Unis,US
in14786,M,Français,Écrit,42001,Professeur titulaire,M.Sc.,1993,Université de Montréal,Canada,CA
in14786,M,Français,Écrit,42001,Professeur titulaire,B.A. honours,1988,McGill University,Canada,CA
in14786,M,Espagnol; castillan,Écrit,42001,Professeur titulaire,Ph.D.,2000,University at Albany SUNY,États-Unis,US
in14786,M,Espagnol; castillan,Écrit,42001,Professeur titulaire,M.Sc.,1993,Université de Montréal,Canada,CA
in14786,M,Espagnol; castillan,Écrit,42001,Professeur titulaire,B.A. honours,1988,McGill University,Canada,CA
in14786,M,Anglais,Oral,42001,Professeur titulaire,Ph.D.,2000,University at Albany SUNY,États-Unis,US
in14786,M,Anglais,Oral,42001,Professeur titulaire,M.Sc.,1993,Université de Montréal,Canada,CA
in14786,M,Anglais,Oral,42001,Professeur titulaire,B.A. honours,1988,McGill University,Canada,CA
in14786,M,Français,Oral,42001,Professeur titulaire,Ph.D.,2000,University at Albany SUNY,États-Unis,US
in14786,M,Français,Oral,42001,Professeur titulaire,M.Sc.,1993,Université de Montréal,Canada,CA
in14786,M,Français,Oral,42001,Professeur titulaire,B.A. honours,1988,McGill University,Canada,CA
in14786,M,Italien,Oral,42001,Professeur titulaire,Ph.D.,2000,University at Albany SUNY,États-Unis,US
in14786,M,Italien,Oral,42001,Professeur titulaire,M.Sc.,1993,Université de Montréal,Canada,CA
in14786,M,Italien,Oral,42001,Professeur titulaire,B.A. honours,1988,McGill University,Canada,CA
in14786,M,Espagnol; castillan,Oral,42001,Professeur titulaire,Ph.D.,2000,University at Albany SUNY,États-Unis,US
in14786,M,Espagnol; castillan,Oral,42001,Professeur titulaire,M.Sc.,1993,Université de Montréal,Canada,CA
in14786,M,Espagnol; castillan,Oral,42001,Professeur titulaire,B.A. honours,1988,McGill University,Canada,CA
in14787,M,Anglais,Écrit,42001,Professeur titulaire,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Anglais,Écrit,42001,Professeur titulaire,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Anglais,Écrit,53091,Chercheur,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Français,Écrit,42001,Professeur titulaire,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Français,Écrit,42001,Professeur titulaire,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Français,Écrit,53091,Chercheur,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Anglais,Oral,42001,Professeur titulaire,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Anglais,Oral,42001,Professeur titulaire,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Anglais,Oral,53091,Chercheur,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Français,Oral,42001,Professeur titulaire,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Français,Oral,42001,Professeur titulaire,Ph.D in Government,2004,Cornell University,États-Unis,US
in14787,M,Français,Oral,53091,Chercheur,Ph.D in Government,2004,Cornell University,États-Unis,US
in14807,M,,,42001,Professeur titulaire,,,,,
in14808,M,Français,Écrit,42001,Professeur titulaire,,,,,
in14808,M,Français,Oral,42001,Professeur titulaire,,,,,
in14813,M,Français,Écrit,42006,Professeur agrégé,,,,,
in14813,M,Français,Oral,42006,Professeur agrégé,,,,,
in14814,F,,,42032,Professeure associée,,,,,
in14822,F,Anglais,Écrit,52072,Professeure/chercheuse titulaire,,,,,
in14822,F,Français,Écrit,52072,Professeure/chercheuse titulaire,,,,,
in14822,F,Anglais,Oral,52072,Professeure/chercheuse titulaire,,,,,
in14822,F,Français,Oral,52072,Professeure/chercheuse titulaire,,,,,
in14823,M,,,52070,Professeur/chercheur adjoint,M.D.,1982,Université Médicale de Capitale,Chine,CN
in14824,F,Français,Écrit,42032,Professeure associée,,,,,
in14824,F,Français,Écrit,42099,Professeure émérite,,,,,
in14824,F,Français,Oral,42032,Professeure associée,,,,,
in14824,F,Français,Oral,42099,Professeure émérite,,,,,
in14825,M,,,42001,Professeur titulaire,,,,,
in14825,M,,,Z9Z9Z,Professeur accrédité,,,,,
in14828,M,Anglais,Écrit,42006,Professeur agrégé,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Anglais,Écrit,42006,Professeur agrégé,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Anglais,Écrit,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Anglais,Écrit,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Anglais,Écrit,42006,Professeur agrégé,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Anglais,Écrit,42006,Professeur agrégé,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Anglais,Écrit,53091,Chercheur,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Anglais,Écrit,53091,Chercheur,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Anglais,Écrit,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Anglais,Écrit,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Anglais,Écrit,53091,Chercheur,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Anglais,Écrit,53091,Chercheur,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Français,Écrit,42006,Professeur agrégé,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Français,Écrit,42006,Professeur agrégé,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Français,Écrit,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Français,Écrit,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Français,Écrit,42006,Professeur agrégé,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Français,Écrit,42006,Professeur agrégé,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Français,Écrit,53091,Chercheur,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Français,Écrit,53091,Chercheur,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Français,Écrit,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Français,Écrit,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Français,Écrit,53091,Chercheur,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Français,Écrit,53091,Chercheur,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Arabe,Oral,42006,Professeur agrégé,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Arabe,Oral,42006,Professeur agrégé,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Arabe,Oral,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Arabe,Oral,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Arabe,Oral,42006,Professeur agrégé,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Arabe,Oral,42006,Professeur agrégé,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Arabe,Oral,53091,Chercheur,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Arabe,Oral,53091,Chercheur,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Arabe,Oral,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Arabe,Oral,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Arabe,Oral,53091,Chercheur,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Arabe,Oral,53091,Chercheur,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Hébreu,Oral,42006,Professeur agrégé,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Hébreu,Oral,42006,Professeur agrégé,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Hébreu,Oral,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Hébreu,Oral,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Hébreu,Oral,42006,Professeur agrégé,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Hébreu,Oral,42006,Professeur agrégé,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Hébreu,Oral,53091,Chercheur,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Hébreu,Oral,53091,Chercheur,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Hébreu,Oral,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Hébreu,Oral,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Hébreu,Oral,53091,Chercheur,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Hébreu,Oral,53091,Chercheur,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Espagnol; castillan,Oral,42006,Professeur agrégé,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Espagnol; castillan,Oral,42006,Professeur agrégé,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Espagnol; castillan,Oral,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Espagnol; castillan,Oral,42006,Professeur agrégé,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Espagnol; castillan,Oral,42006,Professeur agrégé,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Espagnol; castillan,Oral,42006,Professeur agrégé,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14828,M,Espagnol; castillan,Oral,53091,Chercheur,B.A. Religions abrahamiques comparées,1984,Université McGill,Canada,CA
in14828,M,Espagnol; castillan,Oral,53091,Chercheur,M.A. Études islamiques,1989,Université McGill,Canada,CA
in14828,M,Espagnol; castillan,Oral,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Espagnol; castillan,Oral,53091,Chercheur,M.A. Histoire des religions,1992,Université Harvard,États-Unis,US
in14828,M,Espagnol; castillan,Oral,53091,Chercheur,Ph.D. en Sciences des religions avec focus sur l'islam et le judaïsme,1999,Université Harvard,États-Unis,US
in14828,M,Espagnol; castillan,Oral,53091,Chercheur,Laureat II,1983,Ecole de musique Vincent d'Indy,Canada,CA
in14829,F,,,42001,Professeure titulaire,B. Sc. (Honours),1986,Université de Michigan,États-Unis,US
in14829,F,,,42001,Professeure titulaire,B. Sc. (Honours),1986,Université de Michigan,États-Unis,US
in14829,F,,,42001,Professeure titulaire,Ph. D.,1990,Université de Yale,États-Unis,US
in14829,F,,,42001,Professeure titulaire,Ph. D.,1990,Université de Yale,États-Unis,US
in14829,F,,,42001,Professeure titulaire,Stage postdoctoral,1994,National Institute for Medical Research,Royaume-Uni,GB
in14829,F,,,42001,Professeure titulaire,Stage postdoctoral,1994,National Institute for Medical Research,Royaume-Uni,GB
in14829,F,,,42001,Professeure titulaire,Stage postdoctoral,1996,Cancer Research UK,Royaume-Uni,GB
in14829,F,,,42001,Professeure titulaire,Stage postdoctoral,1996,Cancer Research UK,Royaume-Uni,GB
in14830,M,,,42032,Professeur associé,,,,,
in14830,M,,,42099,Professeur émérite,,,,,
in14834,M,,,42099,Professeur émérite,,,,,
in14837,M,Anglais,Écrit,42001,Professeur titulaire,Ph.D.,2001,INRS-Institut Armand-Frappier,Canada,CA
in14837,M,Anglais,Écrit,42001,Professeur titulaire,D.M.V.,1994,Université de Montréal,Canada,CA
in14837,M,Français,Écrit,42001,Professeur titulaire,Ph.D.,2001,INRS-Institut Armand-Frappier,Canada,CA
in14837,M,Français,Écrit,42001,Professeur titulaire,D.M.V.,1994,Université de Montréal,Canada,CA
in14837,M,Anglais,Oral,42001,Professeur titulaire,Ph.D.,2001,INRS-Institut Armand-Frappier,Canada,CA
in14837,M,Anglais,Oral,42001,Professeur titulaire,D.M.V.,1994,Université de Montréal,Canada,CA
in14837,M,Français,Oral,42001,Professeur titulaire,Ph.D.,2001,INRS-Institut Armand-Frappier,Canada,CA
in14837,M,Français,Oral,42001,Professeur titulaire,D.M.V.,1994,Université de Montréal,Canada,CA
in14841,M,Anglais,Écrit,42001,Professeur titulaire,"Doctorat, études interdisciplinaires / bioéthique",2002,Université de Colombie-Britannique,Canada,CA
in14841,M,Anglais,Écrit,42001,Professeur titulaire,"Baccalauréat, philosophie",1994,Université McGill,Canada,CA
in14841,M,Anglais,Écrit,42001,Professeur titulaire,"Maîtrise, bioéthique",1997,Université McGill,Canada,CA
in14841,M,Anglais,Écrit,42001,Professeur titulaire,"Post-doctorat, bioéthique",2004,"Centre for Family Research, University of Cambridge",Royaume-Uni,GB
in14841,M,Anglais,Écrit,42001,Professeur titulaire,"Post-doctorat, bioéthique",2004,"Homerton College, University of Cambridge",Royaume-Uni,GB
in14841,M,Français,Écrit,42001,Professeur titulaire,"Doctorat, études interdisciplinaires / bioéthique",2002,Université de Colombie-Britannique,Canada,CA
in14841,M,Français,Écrit,42001,Professeur titulaire,"Baccalauréat, philosophie",1994,Université McGill,Canada,CA
in14841,M,Français,Écrit,42001,Professeur titulaire,"Maîtrise, bioéthique",1997,Université McGill,Canada,CA
in14841,M,Français,Écrit,42001,Professeur titulaire,"Post-doctorat, bioéthique",2004,"Centre for Family Research, University of Cambridge",Royaume-Uni,GB
in14841,M,Français,Écrit,42001,Professeur titulaire,"Post-doctorat, bioéthique",2004,"Homerton College, University of Cambridge",Royaume-Uni,GB
in14841,M,Anglais,Oral,42001,Professeur titulaire,"Doctorat, études interdisciplinaires / bioéthique",2002,Université de Colombie-Britannique,Canada,CA
in14841,M,Anglais,Oral,42001,Professeur titulaire,"Baccalauréat, philosophie",1994,Université McGill,Canada,CA
in14841,M,Anglais,Oral,42001,Professeur titulaire,"Maîtrise, bioéthique",1997,Université McGill,Canada,CA
in14841,M,Anglais,Oral,42001,Professeur titulaire,"Post-doctorat, bioéthique",2004,"Centre for Family Research, University of Cambridge",Royaume-Uni,GB
in14841,M,Anglais,Oral,42001,Professeur titulaire,"Post-doctorat, bioéthique",2004,"Homerton College, University of Cambridge",Royaume-Uni,GB
in14841,M,Français,Oral,42001,Professeur titulaire,"Doctorat, études interdisciplinaires / bioéthique",2002,Université de Colombie-Britannique,Canada,CA
in14841,M,Français,Oral,42001,Professeur titulaire,"Baccalauréat, philosophie",1994,Université McGill,Canada,CA
in14841,M,Français,Oral,42001,Professeur titulaire,"Maîtrise, bioéthique",1997,Université McGill,Canada,CA
in14841,M,Français,Oral,42001,Professeur titulaire,"Post-doctorat, bioéthique",2004,"Centre for Family Research, University of Cambridge",Royaume-Uni,GB
in14841,M,Français,Oral,42001,Professeur titulaire,"Post-doctorat, bioéthique",2004,"Homerton College, University of Cambridge",Royaume-Uni,GB
in14842,F,,,42006,Professeure agrégée,,,,,
in14843,M,Anglais,Écrit,42001,Professeur titulaire,Doctorat,2004,Duke University,États-Unis,US
in14843,M,Anglais,Écrit,42001,Professeur titulaire,Post-doctorat,2005,University of Toronto,Canada,CA
in14843,M,Français,Écrit,42001,Professeur titulaire,Doctorat,2004,Duke University,États-Unis,US
in14843,M,Français,Écrit,42001,Professeur titulaire,Post-doctorat,2005,University of Toronto,Canada,CA
in14843,M,Anglais,Oral,42001,Professeur titulaire,Doctorat,2004,Duke University,États-Unis,US
in14843,M,Anglais,Oral,42001,Professeur titulaire,Post-doctorat,2005,University of Toronto,Canada,CA
in14843,M,Français,Oral,42001,Professeur titulaire,Doctorat,2004,Duke University,États-Unis,US
in14843,M,Français,Oral,42001,Professeur titulaire,Post-doctorat,2005,University of Toronto,Canada,CA
in14844,F,,,42032,Professeure associée,,,,,
in14844,F,,,42098,Professeure honoraire,,,,,
in14845,M,Français,Écrit,42001,Professeur titulaire,Ph.D.,2004,"University of California, Berkeley",États-Unis,US
in14845,M,Français,Écrit,42001,Professeur titulaire,M.A.,1999,Université McGill,Canada,CA
in14845,M,Français,Écrit,42001,Professeur titulaire,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Français,Écrit,42001,Professeur titulaire,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Français,Écrit,53091,Chercheur,Ph.D.,2004,"University of California, Berkeley",États-Unis,US
in14845,M,Français,Écrit,53091,Chercheur,M.A.,1999,Université McGill,Canada,CA
in14845,M,Français,Écrit,53091,Chercheur,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Français,Écrit,53091,Chercheur,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Anglais,Oral,42001,Professeur titulaire,Ph.D.,2004,"University of California, Berkeley",États-Unis,US
in14845,M,Anglais,Oral,42001,Professeur titulaire,M.A.,1999,Université McGill,Canada,CA
in14845,M,Anglais,Oral,42001,Professeur titulaire,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Anglais,Oral,42001,Professeur titulaire,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Anglais,Oral,53091,Chercheur,Ph.D.,2004,"University of California, Berkeley",États-Unis,US
in14845,M,Anglais,Oral,53091,Chercheur,M.A.,1999,Université McGill,Canada,CA
in14845,M,Anglais,Oral,53091,Chercheur,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Anglais,Oral,53091,Chercheur,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Français,Oral,42001,Professeur titulaire,Ph.D.,2004,"University of California, Berkeley",États-Unis,US
in14845,M,Français,Oral,42001,Professeur titulaire,M.A.,1999,Université McGill,Canada,CA
in14845,M,Français,Oral,42001,Professeur titulaire,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Français,Oral,42001,Professeur titulaire,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Français,Oral,53091,Chercheur,Ph.D.,2004,"University of California, Berkeley",États-Unis,US
in14845,M,Français,Oral,53091,Chercheur,M.A.,1999,Université McGill,Canada,CA
in14845,M,Français,Oral,53091,Chercheur,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14845,M,Français,Oral,53091,Chercheur,B.A. Joint Honours,1998,Université McGill,Canada,CA
in14846,M,,,42001,Professeur titulaire,B.Sc. en chimie,1997,UQTR,Canada,CA
in14846,M,,,42001,Professeur titulaire,Ph.D. en chimie,2002,Université Laval,Canada,CA
in14847,F,Anglais,Écrit,42001,Professeure titulaire,Ph. D.,1999,Université Joseph Fourier,France,FR
in14847,F,Anglais,Écrit,42001,Professeure titulaire,Ph. D.,1999,Université Joseph Fourier,France,FR
in14847,F,Anglais,Écrit,42001,Professeure titulaire,Diplôme d'Ingénieur,1996,Institut National des Sciences Appliquées de Lyon,France,FR
in14847,F,Anglais,Écrit,42001,Professeure titulaire,Maîtrise (Equivalent),1996,Institut National des Sciences appliquées de Lyon,France,FR
in14847,F,Anglais,Écrit,42001,Professeure titulaire,Post-doctorat,2004,McGill University,Canada,CA
in14847,F,Anglais,Écrit,42001,Professeure titulaire,Post-doctorat,2004,McGill University,Canada,CA
in14847,F,Anglais,Écrit,Z9Z9Z,Professeure accréditée,Ph. D.,1999,Université Joseph Fourier,France,FR
in14847,F,Anglais,Écrit,Z9Z9Z,Professeure accréditée,Ph. D.,1999,Université Joseph Fourier,France,FR
